Frame, Frame Full, Scene
381, 0.017334, 9.7e-05
382, 0.017577, 0.000199
383, 0.016581, 0.000186
384, 0.016625, 0.000188
385, 0.017016, 0.000228
386, 0.016634, 0.000186
387, 0.015415, 0.000136
388, 0.016984, 0.000139
389, 0.016345, 0.00013
390, 0.017699, 0.000173
391, 0.014573, 0.000136
392, 0.016469, 0.00013
393, 0.016861, 0.000149
394, 0.016721, 9.6e-05
395, 0.016789, 0.000104
396, 0.016909, 0.000105
397, 0.016491, 0.000131
398, 0.017235, 0.000109
399, 0.016595, 0.000111
400, 0.015863, 9.9e-05
401, 0.017144, 0.000135
402, 0.016007, 0.000108
403, 0.016921, 0.000107
404, 0.016507, 0.000204
405, 0.01675, 0.000102
406, 0.016807, 9.7e-05
407, 0.016541, 0.000106
408, 0.017183, 9.7e-05
409, 0.016219, 0.000151
410, 0.016809, 0.000106
411, 0.016651, 9.7e-05
412, 0.016832, 0.000125
413, 0.016431, 0.000109
414, 0.016721, 9.7e-05
415, 0.016647, 0.000112
416, 0.0167, 9.7e-05
417, 0.016743, 0.0001
418, 0.017102, 0.000133
419, 0.016639, 9.7e-05
420, 0.017035, 0.000108
421, 0.01608, 0.000119
422, 0.017298, 0.0001
423, 0.016473, 0.000109
424, 0.016213, 0.000159
425, 0.01668, 0.0001
426, 0.017196, 0.000109
427, 0.016759, 0.00023
428, 0.016147, 9.9e-05
429, 0.016674, 0.000107
430, 0.016711, 9.8e-05
431, 0.017298, 0.000121
432, 0.016006, 0.000103
433, 0.016879, 0.000101
434, 0.016552, 0.000105
435, 0.017457, 0.000189
436, 0.016696, 9.8e-05
437, 0.016548, 0.000108
438, 0.016729, 9.7e-05
439, 0.018341, 9.7e-05
440, 0.029409, 0.000466
441, 0.024253, 0.000118
442, 0.014966, 0.000253
443, 0.014833, 0.000126
444, 0.016713, 0.000116
445, 0.016156, 0.000131
446, 0.015979, 0.000109
447, 0.017276, 0.000116
448, 0.0168, 0.000116
449, 0.016001, 0.000112
450, 0.016975, 0.000133
451, 0.015766, 0.00014
452, 0.016882, 0.000101
453, 0.016674, 0.000114
454, 0.016746, 0.000107
455, 0.016549, 0.000106
456, 0.016702, 0.000195
457, 0.017116, 0.000109
458, 0.016018, 0.0001
459, 0.016575, 0.000123
460, 0.016812, 0.000135
461, 0.016543, 0.000101
462, 0.01611, 0.000114
463, 0.016936, 9.9e-05
464, 0.016615, 0.000129
465, 0.016717, 0.000112
466, 0.016211, 9.7e-05
467, 0.016718, 0.000111
468, 0.017123, 0.000141
469, 0.016519, 0.0001
470, 0.016581, 0.000107
471, 0.016804, 9.9e-05
472, 0.016656, 0.000125
473, 0.016583, 0.000109
474, 0.01697, 9.8e-05
475, 0.016307, 0.000107
476, 0.016648, 0.000106
477, 0.016788, 9.9e-05
478, 0.016841, 0.000107
479, 0.016721, 0.000121
480, 0.01665, 9.8e-05
481, 0.016612, 0.000272
482, 0.016858, 0.00016
483, 0.016852, 0.0001
484, 0.017103, 0.000104
485, 0.016525, 0.000117
486, 0.017051, 0.000449
487, 0.015258, 0.000152
488, 0.016925, 0.000151
489, 0.01745, 0.000125
490, 0.015751, 0.000121
491, 0.016908, 9.8e-05
492, 0.016462, 0.000111
493, 0.016505, 0.0001
494, 0.016934, 9.7e-05
495, 0.016557, 0.000108
496, 0.016792, 9.8e-05
497, 0.016578, 0.000108
498, 0.016664, 0.000105
499, 0.017048, 9.7e-05
500, 0.016278, 0.000107
501, 0.016508, 0.000107
502, 0.01704, 9.7e-05
503, 0.016351, 0.000107
504, 0.01669, 9.9e-05
505, 0.016862, 0.000102
506, 0.016553, 0.000107
507, 0.016666, 9.9e-05
508, 0.017067, 0.000105
509, 0.016272, 0.000107
510, 0.01668, 9.8e-05
511, 0.017011, 0.000458
512, 0.016424, 0.000136
513, 0.016799, 0.0001
514, 0.017082, 0.000116
515, 0.016292, 0.000124
516, 0.016983, 0.000105
517, 0.016448, 0.000153
518, 0.017711, 0.000108
519, 0.665548, 0.000154
520, 0.013426, 0.000122
521, 0.007837, 0.000106
522, 0.015831, 0.000165
523, 0.016204, 0.000129
524, 0.017574, 9.6e-05
525, 0.015696, 0.000128
526, 0.016852, 0.00011
527, 0.018721, 0.000102
528, 0.016373, 0.000246
529, 0.017167, 0.00028
530, 0.016144, 0.000247
531, 0.016952, 0.00024
532, 0.016604, 0.000227
533, 0.014924, 0.000154
534, 0.016945, 0.000147
535, 0.016578, 0.000143
536, 0.016802, 0.000152
537, 0.016718, 0.000165
538, 0.016434, 0.000141
539, 0.015904, 0.00015
540, 0.01684, 0.00014
541, 0.016356, 0.000168
542, 0.016762, 0.000104
543, 0.016736, 9.8e-05
544, 0.016722, 0.000107
545, 0.016336, 0.000109
546, 0.016591, 9.7e-05
547, 0.016891, 0.000108
548, 0.016831, 0.000103
549, 0.016555, 0.000101
550, 0.016776, 0.000105
551, 0.016443, 0.000154
552, 0.016584, 0.000183
553, 0.016607, 0.000109
554, 0.016668, 9.9e-05
555, 0.016953, 0.000108
556, 0.016705, 0.000103
557, 0.016603, 9.8e-05
558, 0.016601, 0.000107
559, 0.016985, 0.000103
560, 0.016387, 9.9e-05
561, 0.016836, 0.00011
562, 0.016842, 9.9e-05
563, 0.016658, 0.000126
564, 0.016816, 0.000108
565, 0.016576, 0.000104
566, 0.016532, 0.000108
567, 0.016726, 0.000105
568, 0.016817, 9.7e-05
569, 0.016585, 0.000109
570, 0.016547, 0.000101
571, 0.016766, 0.000134
572, 0.017658, 0.000134
573, 0.015985, 0.000219
574, 0.016626, 0.000109
575, 0.016546, 0.00011
576, 0.016755, 9.5e-05
577, 0.017503, 0.00011
578, 0.015845, 0.000113
579, 0.016752, 9.8e-05
580, 0.017071, 0.000109
581, 0.016272, 9.9e-05
582, 0.016638, 9.8e-05
